Order	Species	Scale	Deme	Nuc_Div	U_Haps	N_pairs	N_seqs	Medn_dt	N_dates	Mdn_dst	ag_post	ag_pre	built	tmax	tmin	vpdmax	precip	icide	Lon	Lat
Trichoptera	Rhyacophila verrula	1	5	0	0.8	10	5	2013	2	0	0.093863646135855	0.086326042353359	0	9.42708301544189	-3.15958333015442	9.92875003814697	721.919982910156	0.20899829085561	-105.528	40.173
Trichoptera	Rhyacophila verrula	1	6	0	0.333333333333333	3	3	2013	1	0	0.093863646135855	0.086326042353359	0.065921467469189	12.3866662979126	-0.944999992847443	12.1616668701172	545.150024414062	0.20899829085561	-105.466	40.155
Trichoptera	Rhyacophila verrula	1	7	0	0.5	1	2	2013	1	0	0.093863646135855	0.086326042353359	0	5.29472223917643	-7.11194435755412	7.39749987920125	1080.99334716797	0.20899829085561	-105.615	40.071
Trichoptera	Rhyacophila verrula	1	8	0	0.5	1	2	2013	1	0	0.051135499153492	0.031292114886039	0.045272206303725	7.42916655540466	-5.1637499332428	8.42333316802979	862.919982910156	0.303362941310012	-105.66	40.393
Trichoptera	Rhyacophila verrula	1	9	0.002070393374741	1	1	2	2013	1	0	0.051135499153492	0.031292114886039	0	6.82666683197021	-5.6579167842865	7.9595832824707	1002.75003051758	0.303362941310012	-105.663	40.31
Trichoptera	Anagapetus debilis	1	1	0.004863455928317	1	6	4	2013	2	0	0.051135499153492	0.031292114886039	0.027769825365016	10.102499961853	-3.36916661262512	10.2833337783813	527.22998046875	0.303362941310012	-105.674	40.928
Trichoptera	Anagapetus debilis	1	4	0.001013171225937	0.666666666666667	3	3	2013	1	0	0.016675887169782	0.010191308220705	0.011415525114155	9.73083305358887	-0.33874998986721	8.9908332824707	786.110015869141	13.91140096165	-120.352	48.625
Trichoptera	Chyrandra centralis	1	1	0	1	6	4	2013	2	0	0.051135499153492	0.031292114886039	0	6.55999994277954	-6.28083324432373	7.85666656494141	737.549987792969	0.303362941310012	-105.708	40.623
Trichoptera	Chyrandra centralis	1	2	0.006896551724138	1	1	2	2013	1	0	0.051135499153492	0.031292114886039	0.027769825365016	10.102499961853	-3.36916661262512	10.2833337783813	527.22998046875	0.303362941310012	-105.674	40.928
Trichoptera	Chyrandra centralis	1	4	0.001519756838906	1	1	2	2012	2	0	0.014406580226726	0.011127630723371	0.046731651376147	12.328332901001	-2.62833333015442	11.9416666030884	686.119995117188	0.136142446230805	-114.536	46.7058
Trichoptera	Chyrandra centralis	1	5	0	0.5	1	2	2013	1	0	0.034924321601159	0.060795029810541	0	13.3916668891907	1.78791671991348	10.784583568573	2105.75500488281	0.155989927266581	-121.932	44.5839
Trichoptera	Chyrandra centralis	1	6	0.001519756838906	1	1	2	2012	2	0	0.040937502176175	0.020157019971728	0	7.10750007629395	-4.74645829200745	8.37291693687439	677.52751159668	0.072117114721914	-107.448	44.6906
Trichoptera	Chyrandra centralis	1	10	0.024316109422492	1	1	2	2012	2	0	0.010191777946046	0.003947539306339	0	10.3458333015442	-4.625	10.8279166221619	734.295013427734	0.27683114744653	-115.011	44.1978
Trichoptera	Brachycentrus aff. americanus A BG	1	1	0	1	15	6	2013	2	0	0.051135499153492	0.031292114886039	0	13.9838889439901	0.096388841668765	13.4286111195882	496.61333211263	0.303362941310012	-105.348	40.571
Trichoptera	Rhyacophila harmstoni	1	1	0.000751691224509	1	10	5	2013	2	0	0.093863646135855	0.086326042353359	0	5.59270834922791	-6.80645823478699	7.56166660785675	1061.8800201416	0.20899829085561	-105.603	40.071
Trichoptera	Rhyacophila harmstoni	1	3	0	1	1	2	2013	1	0	0.051135499153492	0.031292114886039	0.045272206303725	7.42916655540466	-5.1637499332428	8.42333316802979	862.919982910156	0.303362941310012	-105.66	40.393
